approve,assess_year/id,cancel,cancel_date,certificate_no,certified_date,collection_charge,wakf_district/id,file_no,grand_total,rr_execute,recover_amount,reg_no,requisiton_no,send,partner_id/id
TRUE,__export__.account_fiscalyear_168,FALSE,,0,2011-08-01,1531.5,__export__.wakf_district_6,0,32161.5,FALSE,30630,6651,0,TRUE,__export__.res_partner_1261
TRUE,__export__.account_fiscalyear_163,FALSE,,0,2011-08-01,273.1,__export__.wakf_district_6,0,5735.1,FALSE,5462,199,0,TRUE,__export__.res_partner_4186
TRUE,__export__.account_fiscalyear_168,FALSE,,0,2011-08-02,2739.05,__export__.wakf_district_6,0,57520.05,FALSE,54781,6080,0,TRUE,__export__.res_partner_3095
TRUE,__export__.account_fiscalyear_168,FALSE,,0,2011-08-03,966.35,__export__.wakf_district_6,0,20293.35,FALSE,19327,7079,0,TRUE,__export__.res_partner_1097
TRUE,__export__.account_fiscalyear_169,FALSE,,0,2011-08-03,511.15,__export__.wakf_district_6,0,10734.15,FALSE,10223,295,0,TRUE,__export__.res_partner_2486
TRUE,__export__.account_fiscalyear_163,FALSE,,0,2011-08-04,293.5,__export__.wakf_district_6,0,6163.5,FALSE,5870,265,0,TRUE,__export__.res_partner_8057
TRUE,__export__.account_fiscalyear_168,FALSE,,0,2011-08-05,1209.7,__export__.wakf_district_6,0,25403.7,FALSE,24194,6821,0,TRUE,__export__.res_partner_5746
TRUE,__export__.account_fiscalyear_168,FALSE,,0,2011-08-06,511.15,__export__.wakf_district_6,0,10734.15,FALSE,10223,301,0,TRUE,__export__.res_partner_7291
TRUE,__export__.account_fiscalyear_168,FALSE,,0,2011-08-06,607,__export__.wakf_district_6,0,12747,FALSE,12140,310,0,TRUE,__export__.res_partner_3423
TRUE,__export__.account_fiscalyear_168,FALSE,,0,2011-08-06,4087.8,__export__.wakf_district_6,0,85843.8,FALSE,81756,324,0,TRUE,__export__.res_partner_2311
TRUE,__export__.account_fiscalyear_168,FALSE,,0,2011-08-06,519.9,__export__.wakf_district_6,0,10917.9,FALSE,10398,341,0,TRUE,__export__.res_partner_4665
TRUE,__export__.account_fiscalyear_168,TRUE,2012-07-26,0,2011-08-06,552.25,__export__.wakf_district_6,0,11597.25,FALSE,11045,350,0,TRUE,__export__.res_partner_1784
TRUE,__export__.account_fiscalyear_165,FALSE,,0,2011-08-08,188.35,__export__.wakf_district_6,0,3955.35,FALSE,3767,403,0,TRUE,__export__.res_partner_8480
TRUE,__export__.account_fiscalyear_168,FALSE,,0,2011-08-09,595.6,__export__.wakf_district_6,0,12507.6,FALSE,11912,5398,0,TRUE,__export__.res_partner_2673
TRUE,__export__.account_fiscalyear_168,FALSE,,0,2011-08-11,662.75,__export__.wakf_district_6,0,13917.75,FALSE,13255,6082,0,TRUE,__export__.res_partner_210
TRUE,__export__.account_fiscalyear_168,FALSE,,0,2011-08-11,552.3,__export__.wakf_district_6,0,11598.3,FALSE,11046,6659,0,TRUE,__export__.res_partner_3110
TRUE,__export__.account_fiscalyear_168,FALSE,,0,2011-08-11,574.05,__export__.wakf_district_6,0,12055.05,FALSE,11481,4557,0,TRUE,__export__.res_partner_2874
TRUE,__export__.account_fiscalyear_168,FALSE,,0,2011-08-11,511.85,__export__.wakf_district_6,0,10748.85,FALSE,10237,4533,0,TRUE,__export__.res_partner_5099
TRUE,__export__.account_fiscalyear_168,FALSE,,0,2011-08-17,756.35,__export__.wakf_district_6,0,15883.35,FALSE,15127,481,0,TRUE,__export__.res_partner_316
TRUE,__export__.account_fiscalyear_168,FALSE,,0,2011-08-23,618,__export__.wakf_district_6,0,12978,FALSE,12360,4169,0,TRUE,__export__.res_partner_6742
TRUE,__export__.account_fiscalyear_168,TRUE,2014-04-21,0,2011-08-23,2081.2,__export__.wakf_district_6,0,43705.2,FALSE,41624,6612,0,TRUE,__export__.res_partner_107
