Master_id,temp_acc_year,Accnt year,acc_year/id,date_from,Assess year,assess_year/id,reg_id,name,wakf_id/id,line_1,line_2,line_3
124,,2010-2011,__export__.account_fiscalyear_244,2012-01-04,2011-2012,__export__.account_fiscalyear_245,2942,3835,__export__.res_partner_3640,0,0,0
125,,2003-2004,__export__.account_fiscalyear_237,2004-12-29,2004-2005,__export__.account_fiscalyear_238,3092,3738,__export__.res_partner_1416,0,0,0
126,,2009-2010,__export__.account_fiscalyear_243,2011-02-07,2010-2011,__export__.account_fiscalyear_244,3092,3738,__export__.res_partner_1416,0,0,0
127,,2010-2011,__export__.account_fiscalyear_244,2011-07-06,2011-2012,__export__.account_fiscalyear_245,1846,5113,__export__.res_partner_588,0,0,0
128,,2012-2013,__export__.account_fiscalyear_246,2013-08-12,2013-2014,__export__.account_fiscalyear_247,3047,3695,__export__.res_partner_5575,0,0,0
129,,2012-2013,__export__.account_fiscalyear_246,2013-08-02,2013-2014,__export__.account_fiscalyear_247,860,6909,__export__.res_partner_1089,0,0,0
130,,2009-2010,__export__.account_fiscalyear_243,2010-09-08,2010-2011,__export__.account_fiscalyear_244,629,6617,__export__.res_partner_6834,0,0,0
131,,2011-2012,__export__.account_fiscalyear_245,2013-11-04,2012-2013,__export__.account_fiscalyear_246,619,6911,__export__.res_partner_7040,0,0,0
132,,2010-2011,__export__.account_fiscalyear_244,2011-05-20,2011-2012,__export__.account_fiscalyear_245,583,6709,__export__.res_partner_2670,0,0,0
133,,1998-1999,__export__.account_fiscalyear_232,2006-05-01,2006-2007,__export__.account_fiscalyear_240,6618,3709,__export__.res_partner_2160,0,0,0
134,,1999-2000,__export__.account_fiscalyear_233,2006-05-31,2006-2007,__export__.account_fiscalyear_240,6618,3709,__export__.res_partner_2160,0,0,0
135,,2000-2001,__export__.account_fiscalyear_234,2006-05-31,2006-2007,__export__.account_fiscalyear_240,6618,3709,__export__.res_partner_2160,0,0,0
136,,2001-2002,__export__.account_fiscalyear_235,2006-05-31,2006-2007,__export__.account_fiscalyear_240,6618,3709,__export__.res_partner_2160,0,0,0
137,,2002-2003,__export__.account_fiscalyear_236,2006-05-31,2006-2007,__export__.account_fiscalyear_240,6618,3709,__export__.res_partner_2160,0,0,0
138,,2003-2004,__export__.account_fiscalyear_237,2006-05-31,2006-2007,__export__.account_fiscalyear_240,6618,3709,__export__.res_partner_2160,0,0,0
139,,2004-2005,__export__.account_fiscalyear_238,2006-05-31,2006-2007,__export__.account_fiscalyear_240,6618,3709,__export__.res_partner_2160,0,0,0
140,,2005-2006,__export__.account_fiscalyear_239,2007-11-21,2007-2008,__export__.account_fiscalyear_241,6618,3709,__export__.res_partner_2160,0,0,0
141,,2006-2007,__export__.account_fiscalyear_240,2007-11-23,2007-2008,__export__.account_fiscalyear_241,6618,3709,__export__.res_partner_2160,0,0,0
142,,2007-2008,__export__.account_fiscalyear_241,2009-04-13,2009-2010,__export__.account_fiscalyear_243,6618,3709,__export__.res_partner_2160,0,0,0
143,,2009-2010,__export__.account_fiscalyear_243,2010-01-27,2009-2010,__export__.account_fiscalyear_243,6618,3709,__export__.res_partner_2160,0,0,0
144,,2010-2011,__export__.account_fiscalyear_244,2011-07-27,2011-2012,__export__.account_fiscalyear_245,3098,3739,__export__.res_partner_3239,0,0,0
145,1960-1999,1960-1999,,2001-01-30,2000-2001,__export__.account_fiscalyear_234,3091,3737,__export__.res_partner_4450,0,0,0
