master_id,temp_acc_year,Accnt year,acc_year/id,date_from,Assess year,assess_year/id,reg_id,name,wakf_id/id,line_1,line_2,line_3
152,,2010-2011,__export__.account_fiscalyear_187,2013-05-13,2013-2014,__export__.account_fiscalyear_190,5773,6418,__export__.res_partner_8314,0,0,0
153,,2010-2011,__export__.account_fiscalyear_187,2012-02-13,2011-2012,__export__.account_fiscalyear_188,369,7141,__export__.res_partner_7549,0,0,0
154,,2011-2012,__export__.account_fiscalyear_188,2012-02-13,2011-2012,__export__.account_fiscalyear_188,369,7141,__export__.res_partner_7549,0,0,0
155,,2006-2007,__export__.account_fiscalyear_183,2008-02-26,2007-2008,__export__.account_fiscalyear_184,7550,7653,__export__.res_partner_45,0,0,0
156,,2011-2012,__export__.account_fiscalyear_188,2012-08-09,2012-2013,__export__.account_fiscalyear_189,5156,3475,__export__.res_partner_3617,0,0,0
157,,2009-2010,__export__.account_fiscalyear_186,2013-03-07,2010-2011,__export__.account_fiscalyear_187,7686,7707,__export__.res_partner_4591,0,0,0
158,,2010-2011,__export__.account_fiscalyear_187,2013-03-07,2011-2012,__export__.account_fiscalyear_188,7686,7707,__export__.res_partner_4591,0,0,0
159,,2011-2012,__export__.account_fiscalyear_188,2013-03-07,2012-2013,__export__.account_fiscalyear_189,7686,7707,__export__.res_partner_4591,0,0,0
160,,1998-1999,__export__.account_fiscalyear_175,2000-04-01,2000-2001,__export__.account_fiscalyear_177,5303,3487,__export__.res_partner_1704,0,0,0
161,1997-1999,1997-1999,,2001-03-31,2000-2001,__export__.account_fiscalyear_177,470,3482,__export__.res_partner_4409,0,0,0
162,,2010-2011,__export__.account_fiscalyear_187,2011-12-31,2011-2012,__export__.account_fiscalyear_188,470,3482,__export__.res_partner_4409,0,0,0
163,,1993-1994,__export__.account_fiscalyear_481,2000-07-12,2000-2001,__export__.account_fiscalyear_177,5322,3484,__export__.res_partner_3383,0,0,0
165,,1996-1997,__export__.account_fiscalyear_173,2001-03-16,2000-2001,__export__.account_fiscalyear_177,6685,4089,__export__.res_partner_3738,0,0,0
166,,1992-1993,__export__.account_fiscalyear_480,2000-10-12,2000-2001,__export__.account_fiscalyear_177,5211,3471,__export__.res_partner_3444,0,0,0
167,,1991-1992,__export__.account_fiscalyear_479,2001-03-24,2000-2001,__export__.account_fiscalyear_177,3670,3500,__export__.res_partner_3231,0,0,0
168,,1991-1992,__export__.account_fiscalyear_479,2000-07-12,2000-2001,__export__.account_fiscalyear_177,5365,3511,__export__.res_partner_4939,0,0,0
169,,2011-2012,__export__.account_fiscalyear_188,2012-07-17,2012-2013,__export__.account_fiscalyear_189,4984,3409,__export__.res_partner_7983,0,0,0
170,,2011-2012,__export__.account_fiscalyear_188,2012-07-30,2012-2013,__export__.account_fiscalyear_189,5399,3404,__export__.res_partner_2111,0,0,0
171,,2011-2012,__export__.account_fiscalyear_188,2012-06-18,2012-2013,__export__.account_fiscalyear_189,4995,3403,__export__.res_partner_8053,0,0,0
172,,1994-1995,__export__.account_fiscalyear_482,2001-03-24,2000-2001,__export__.account_fiscalyear_177,4994,3405,__export__.res_partner_237,0,0,0
173,,2011-2012,__export__.account_fiscalyear_188,2013-03-13,2012-2013,__export__.account_fiscalyear_189,2767,3904,__export__.res_partner_4341,0,0,0
174,,2010-2011,__export__.account_fiscalyear_187,2012-04-30,2012-2013,__export__.account_fiscalyear_189,2922,3853,__export__.res_partner_5912,0,0,0
175,,2012-2013,__export__.account_fiscalyear_189,2013-04-17,2013-2014,__export__.account_fiscalyear_190,3671,3422,__export__.res_partner_5540,0,0,0
176,,2011-2012,__export__.account_fiscalyear_188,2012-11-23,2012-2013,__export__.account_fiscalyear_189,5232,3423,__export__.res_partner_4359,0,0,0
177,,2003-2004,__export__.account_fiscalyear_180,2006-11-17,2004-2005,__export__.account_fiscalyear_181,5060,3425,__export__.res_partner_600,0,0,0
178,,2005-2006,__export__.account_fiscalyear_182,2006-11-17,2006-2007,__export__.account_fiscalyear_183,5060,3425,__export__.res_partner_600,0,0,0
179,,2011-2012,__export__.account_fiscalyear_188,2012-06-19,2012-2013,__export__.account_fiscalyear_189,5154,3420,__export__.res_partner_4745,0,0,0
180,,2011-2012,__export__.account_fiscalyear_188,2013-03-07,2012-2013,__export__.account_fiscalyear_189,2765,3901,__export__.res_partner_4596,0,0,0
181,,2009-2010,__export__.account_fiscalyear_186,2011-02-07,2010-2011,__export__.account_fiscalyear_187,205,7249,__export__.res_partner_1830,0,0,0
182,,2011-2012,__export__.account_fiscalyear_188,2013-05-21,2013-2014,__export__.account_fiscalyear_190,205,7249,__export__.res_partner_1830,0,0,0
183,,2009-2010,__export__.account_fiscalyear_186,2013-04-08,2013-2014,__export__.account_fiscalyear_190,205,7249,__export__.res_partner_1830,0,0,0
184,,2008-2009,__export__.account_fiscalyear_185,2009-10-06,2009-2010,__export__.account_fiscalyear_186,5321,3430,__export__.res_partner_6701,0,0,0
185,,1992-1993,__export__.account_fiscalyear_480,2001-03-31,2000-2001,__export__.account_fiscalyear_177,5205,3426,__export__.res_partner_2349,0,0,0
186,,2011-2012,__export__.account_fiscalyear_188,2012-06-11,2012-2013,__export__.account_fiscalyear_189,4987,3387,__export__.res_partner_2729,0,0,0
187,,2010-2011,__export__.account_fiscalyear_187,2011-07-06,2011-2012,__export__.account_fiscalyear_188,3656,3400,__export__.res_partner_5628,0,0,0
188,,2011-2012,__export__.account_fiscalyear_188,2012-06-21,2012-2013,__export__.account_fiscalyear_189,3656,3400,__export__.res_partner_5628,0,0,0
189,,1994-1995,__export__.account_fiscalyear_482,2000-07-12,2000-2001,__export__.account_fiscalyear_177,5063,3394,__export__.res_partner_5422,0,0,0
190,,2009-2010,__export__.account_fiscalyear_186,2012-06-28,2010-2011,__export__.account_fiscalyear_187,5063,3394,__export__.res_partner_5422,0,0,0
191,,2011-2012,__export__.account_fiscalyear_188,2012-06-28,2012-2013,__export__.account_fiscalyear_189,5063,3394,__export__.res_partner_5422,0,0,0
