line_2,line_3,line_1,wakf_id/id,name,assess_year/id,date_from,acc_year/id,temp_acc_year
0,0,0,__export__.res_partner_2848,1915,__export__.account_fiscalyear_228,2013-11-26,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_1764,1917,__export__.account_fiscalyear_228,2013-11-26,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_4534,2795,__export__.account_fiscalyear_228,2013-11-26,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_7678,2798,__export__.account_fiscalyear_228,2013-11-26,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_5380,4319,__export__.account_fiscalyear_228,2013-11-26,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_3734,4029,__export__.account_fiscalyear_228,2013-11-26,__export__.account_fiscalyear_226,
0,0,0,__export__.res_partner_3734,4029,__export__.account_fiscalyear_228,2013-11-26,__export__.account_fiscalyear_227,
0,0,1147,__export__.res_partner_2185,2830,__export__.account_fiscalyear_228,2013-11-27,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_5166,7216,__export__.account_fiscalyear_228,2013-11-27,__export__.account_fiscalyear_227,
1464114.22,0,378247.11,__export__.res_partner_3335,1292,__export__.account_fiscalyear_228,2013-11-28,__export__.account_fiscalyear_227,
0,0,93,__export__.res_partner_21,5123,__export__.account_fiscalyear_228,2013-11-28,__export__.account_fiscalyear_227,
0,0,3637,__export__.res_partner_4965,5117,__export__.account_fiscalyear_228,2013-11-28,__export__.account_fiscalyear_227,
0,0,22023,__export__.res_partner_921,2269,__export__.account_fiscalyear_228,2013-11-28,__export__.account_fiscalyear_227,
0,0,122,__export__.res_partner_6627,2017,__export__.account_fiscalyear_228,2013-11-29,__export__.account_fiscalyear_227,
0,0,1438,__export__.res_partner_5916,7714,__export__.account_fiscalyear_228,2013-11-29,__export__.account_fiscalyear_226,
0,0,4000,__export__.res_partner_5916,7714,__export__.account_fiscalyear_228,2013-11-29,__export__.account_fiscalyear_227,
0,0,149.5,__export__.res_partner_1616,5614,__export__.account_fiscalyear_228,2013-11-29,__export__.account_fiscalyear_226,
0,0,196.5,__export__.res_partner_1616,5614,__export__.account_fiscalyear_228,2013-11-29,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_1826,2454,__export__.account_fiscalyear_228,2013-11-29,__export__.account_fiscalyear_223,
0,0,0,__export__.res_partner_2605,6676,__export__.account_fiscalyear_228,2013-11-30,__export__.account_fiscalyear_535,
0,0,0,__export__.res_partner_2605,6676,__export__.account_fiscalyear_228,2013-11-30,__export__.account_fiscalyear_212,
0,0,0,__export__.res_partner_2605,6676,__export__.account_fiscalyear_228,2013-11-30,__export__.account_fiscalyear_213,
0,0,0,__export__.res_partner_2605,6676,__export__.account_fiscalyear_228,2013-11-30,__export__.account_fiscalyear_214,
0,0,0,__export__.res_partner_2605,6676,__export__.account_fiscalyear_228,2013-11-30,__export__.account_fiscalyear_215,
0,0,0,__export__.res_partner_2605,6676,__export__.account_fiscalyear_228,2013-11-30,__export__.account_fiscalyear_216,
0,0,0,__export__.res_partner_2605,6676,__export__.account_fiscalyear_228,2013-11-30,__export__.account_fiscalyear_217,
0,0,0,__export__.res_partner_2605,6676,__export__.account_fiscalyear_228,2013-11-30,__export__.account_fiscalyear_218,
0,0,0,__export__.res_partner_2605,6676,__export__.account_fiscalyear_228,2013-11-30,__export__.account_fiscalyear_219,
0,0,0,__export__.res_partner_2605,6676,__export__.account_fiscalyear_228,2013-11-30,__export__.account_fiscalyear_220,
0,0,0,__export__.res_partner_2605,6676,__export__.account_fiscalyear_228,2013-11-30,__export__.account_fiscalyear_221,
0,0,0,__export__.res_partner_2605,6676,__export__.account_fiscalyear_228,2013-11-30,__export__.account_fiscalyear_222,
0,0,0,__export__.res_partner_2605,6676,__export__.account_fiscalyear_228,2013-11-30,__export__.account_fiscalyear_223,
0,0,0,__export__.res_partner_2605,6676,__export__.account_fiscalyear_228,2013-11-30,__export__.account_fiscalyear_224,
0,0,0,__export__.res_partner_6581,1713,__export__.account_fiscalyear_227,2012-08-04,__export__.account_fiscalyear_226,
0,0,5190.5,__export__.res_partner_6078,1441,__export__.account_fiscalyear_228,2013-11-30,__export__.account_fiscalyear_226,
0,0,724,__export__.res_partner_6078,1441,__export__.account_fiscalyear_228,2013-11-30,__export__.account_fiscalyear_227,
0,0,6704,__export__.res_partner_2151,5492,__export__.account_fiscalyear_228,2013-11-30,__export__.account_fiscalyear_226,
0,0,12979,__export__.res_partner_2151,5492,__export__.account_fiscalyear_228,2013-11-30,__export__.account_fiscalyear_227,
0,0,2871.15,__export__.res_partner_5264,2019,__export__.account_fiscalyear_228,2013-11-30,__export__.account_fiscalyear_227,
0,0,17102,__export__.res_partner_1610,7049,__export__.account_fiscalyear_228,2013-12-02,__export__.account_fiscalyear_226,
0,0,7431,__export__.res_partner_1610,7049,__export__.account_fiscalyear_228,2013-12-02,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_311,6755,__export__.account_fiscalyear_228,2013-12-03,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_4512,6996,__export__.account_fiscalyear_228,2013-12-03,__export__.account_fiscalyear_225,
0,0,0,__export__.res_partner_4512,6996,__export__.account_fiscalyear_228,2013-12-03,__export__.account_fiscalyear_226,
0,0,0,__export__.res_partner_7848,2310,__export__.account_fiscalyear_228,2013-12-03,__export__.account_fiscalyear_225,
