master_id,temp_acc_year,acc_year/id,date_from,assess_year/id,name,wakf_id/id,line_1,line_2,line_3
540,,__export__.account_fiscalyear_56,9/20/2013,__export__.account_fiscalyear_57,6484,__export__.res_partner_2734,,,
541,,__export__.account_fiscalyear_55,11/1/2013,__export__.account_fiscalyear_57,6484,__export__.res_partner_2734,,,
542,,__export__.account_fiscalyear_55,12/27/2012,__export__.account_fiscalyear_56,6485,__export__.res_partner_7455,,,
543,,__export__.account_fiscalyear_56,11/29/2013,__export__.account_fiscalyear_57,6485,__export__.res_partner_7455,,,
544,1986-1993,,3/30/1995,__export__.account_fiscalyear_430,6494,__export__.res_partner_1271,,,
545,,__export__.account_fiscalyear_55,1/30/2013,__export__.account_fiscalyear_56,6498,__export__.res_partner_4127,,,
546,,__export__.account_fiscalyear_56,7/20/2013,__export__.account_fiscalyear_57,6498,__export__.res_partner_4127,,,
547,,__export__.account_fiscalyear_54,5/12/2011,__export__.account_fiscalyear_55,6526,__export__.res_partner_8461,,,
548,,__export__.account_fiscalyear_55,6/27/2012,__export__.account_fiscalyear_56,6526,__export__.res_partner_8461,,,
549,,__export__.account_fiscalyear_56,8/17/2013,__export__.account_fiscalyear_57,6526,__export__.res_partner_8461,,,
550,,__export__.account_fiscalyear_54,12/3/2011,__export__.account_fiscalyear_55,907,__export__.res_partner_5428,,,
551,,__export__.account_fiscalyear_55,5/9/2013,__export__.account_fiscalyear_57,907,__export__.res_partner_5428,,,
552,,__export__.account_fiscalyear_52,8/20/2013,__export__.account_fiscalyear_57,6577,__export__.res_partner_2567,,,
553,,__export__.account_fiscalyear_53,8/20/2013,__export__.account_fiscalyear_57,6577,__export__.res_partner_2567,,,
554,,__export__.account_fiscalyear_54,8/20/2013,__export__.account_fiscalyear_57,6577,__export__.res_partner_2567,,,
555,,__export__.account_fiscalyear_55,8/20/2013,__export__.account_fiscalyear_57,6577,__export__.res_partner_2567,,,
556,,__export__.account_fiscalyear_56,8/20/2013,__export__.account_fiscalyear_57,6577,__export__.res_partner_2567,,,
557,1990-1992,,3/29/1995,__export__.account_fiscalyear_430,6582,__export__.res_partner_7944,,,
558,1968-1993,,4/3/1995,__export__.account_fiscalyear_431,987,__export__.res_partner_3733,,,
559,,__export__.account_fiscalyear_50,12/4/2007,__export__.account_fiscalyear_51,6688,__export__.res_partner_6655,,,
560,,__export__.account_fiscalyear_50,2/4/2008,__export__.account_fiscalyear_51,6720,__export__.res_partner_5743,,,
561,,__export__.account_fiscalyear_56,7/14/2013,__export__.account_fiscalyear_57,6776,__export__.res_partner_7375,,,
562,,__export__.account_fiscalyear_54,5/26/2011,__export__.account_fiscalyear_55,6815,__export__.res_partner_7328,,,
563,,__export__.account_fiscalyear_55,6/18/2012,__export__.account_fiscalyear_56,6815,__export__.res_partner_7328,,,
564,,__export__.account_fiscalyear_56,5/6/2013,__export__.account_fiscalyear_57,6815,__export__.res_partner_7328,,,
565,,__export__.account_fiscalyear_55,7/26/2012,__export__.account_fiscalyear_56,6823,__export__.res_partner_3234,,,
566,,__export__.account_fiscalyear_56,9/27/2013,__export__.account_fiscalyear_57,6823,__export__.res_partner_3234,,,
567,,__export__.account_fiscalyear_56,8/1/2013,__export__.account_fiscalyear_57,1104,__export__.res_partner_485,,,
568,,__export__.account_fiscalyear_55,10/29/2013,__export__.account_fiscalyear_57,6848,__export__.res_partner_1722,,,
569,,__export__.account_fiscalyear_54,11/11/2013,__export__.account_fiscalyear_57,6848,__export__.res_partner_1722,,,
570,,__export__.account_fiscalyear_56,11/13/2013,__export__.account_fiscalyear_57,6848,__export__.res_partner_1722,,,
571,,__export__.account_fiscalyear_419,3/31/1995,__export__.account_fiscalyear_430,1108,__export__.res_partner_796,,,
572,,__export__.account_fiscalyear_55,7/27/2012,__export__.account_fiscalyear_56,1108,__export__.res_partner_796,,,
573,,__export__.account_fiscalyear_54,12/12/2011,__export__.account_fiscalyear_55,1109,__export__.res_partner_2928,,,
574,,__export__.account_fiscalyear_55,9/27/2012,__export__.account_fiscalyear_56,1109,__export__.res_partner_2928,,,
575,,__export__.account_fiscalyear_56,8/1/2013,__export__.account_fiscalyear_57,1109,__export__.res_partner_2928,,,
576,,__export__.account_fiscalyear_55,8/24/2012,__export__.account_fiscalyear_56,1110,__export__.res_partner_1814,,,
577,,__export__.account_fiscalyear_56,6/10/2013,__export__.account_fiscalyear_57,1110,__export__.res_partner_1814,,,
578,,__export__.account_fiscalyear_55,9/19/2012,__export__.account_fiscalyear_56,1111,__export__.res_partner_4448,,,
579,,__export__.account_fiscalyear_56,12/2/2013,__export__.account_fiscalyear_57,6863,__export__.res_partner_623,,,
580,,__export__.account_fiscalyear_55,5/29/2013,__export__.account_fiscalyear_57,1112,__export__.res_partner_8472,,,
581,,__export__.account_fiscalyear_55,7/10/2012,__export__.account_fiscalyear_56,6920,__export__.res_partner_1310,,,
582,,__export__.account_fiscalyear_56,6/18/2013,__export__.account_fiscalyear_57,6920,__export__.res_partner_1310,,,
583,,__export__.account_fiscalyear_55,10/19/2012,__export__.account_fiscalyear_56,1114,__export__.res_partner_5475,,,
584,,__export__.account_fiscalyear_55,1/30/2013,__export__.account_fiscalyear_56,6927,__export__.res_partner_7146,,,
585,,__export__.account_fiscalyear_56,7/20/2013,__export__.account_fiscalyear_57,6927,__export__.res_partner_7146,,,
586,,__export__.account_fiscalyear_52,8/11/2009,__export__.account_fiscalyear_53,6931,__export__.res_partner_2709,,,
587,,__export__.account_fiscalyear_54,6/13/2011,__export__.account_fiscalyear_55,1118,__export__.res_partner_5658,,,
588,,__export__.account_fiscalyear_55,6/15/2012,__export__.account_fiscalyear_56,1118,__export__.res_partner_5658,,,
589,,__export__.account_fiscalyear_56,7/1/2013,__export__.account_fiscalyear_57,1118,__export__.res_partner_5658,,,
590,,__export__.account_fiscalyear_49,6/19/2006,__export__.account_fiscalyear_50,1119,__export__.res_partner_4447,,,
591,,__export__.account_fiscalyear_53,6/5/2010,__export__.account_fiscalyear_54,1119,__export__.res_partner_4447,,,
592,,__export__.account_fiscalyear_55,5/28/2012,__export__.account_fiscalyear_56,1119,__export__.res_partner_4447,,,
593,,__export__.account_fiscalyear_56,12/16/2013,__export__.account_fiscalyear_57,1119,__export__.res_partner_4447,,,
594,,__export__.account_fiscalyear_55,5/28/2012,__export__.account_fiscalyear_56,1120,__export__.res_partner_703,,,
595,,__export__.account_fiscalyear_56,10/18/2013,__export__.account_fiscalyear_57,1120,__export__.res_partner_703,,,
596,1972-1981,,3/31/1995,__export__.account_fiscalyear_430,1121,__export__.res_partner_8296,,,
597,1981-1989,,3/31/1995,__export__.account_fiscalyear_430,1121,__export__.res_partner_8296,,,
598,,__export__.account_fiscalyear_55,10/8/2012,__export__.account_fiscalyear_56,6995,__export__.res_partner_2813,,,
599,,__export__.account_fiscalyear_55,6/29/2012,__export__.account_fiscalyear_56,6998,__export__.res_partner_7754,,,
600,,__export__.account_fiscalyear_48,4/19/2013,__export__.account_fiscalyear_57,6998,__export__.res_partner_7754,,,
601,,__export__.account_fiscalyear_56,4/23/2013,__export__.account_fiscalyear_57,6998,__export__.res_partner_7754,,,
602,,__export__.account_fiscalyear_55,6/28/2012,__export__.account_fiscalyear_56,7017,__export__.res_partner_5187,,,
603,,__export__.account_fiscalyear_56,6/5/2013,__export__.account_fiscalyear_57,7017,__export__.res_partner_5187,,,
604,,__export__.account_fiscalyear_55,6/5/2013,__export__.account_fiscalyear_57,1125,__export__.res_partner_2362,,,
605,,__export__.account_fiscalyear_56,6/17/2013,__export__.account_fiscalyear_57,1125,__export__.res_partner_2362,,,
606,,__export__.account_fiscalyear_56,9/23/2013,__export__.account_fiscalyear_57,7021,__export__.res_partner_2538,,,
607,1980-1988,,3/1/1995,__export__.account_fiscalyear_430,1126,__export__.res_partner_880,,,
608,,__export__.account_fiscalyear_44,2/4/2014,__export__.account_fiscalyear_57,7021,__export__.res_partner_2538,,,
609,,__export__.account_fiscalyear_45,2/4/2014,__export__.account_fiscalyear_57,7021,__export__.res_partner_2538,,,
610,,__export__.account_fiscalyear_429,3/30/1996,__export__.account_fiscalyear_431,1126,__export__.res_partner_880,,,
611,,__export__.account_fiscalyear_46,2/4/2014,__export__.account_fiscalyear_57,7021,__export__.res_partner_2538,,,
612,,__export__.account_fiscalyear_430,3/30/1996,__export__.account_fiscalyear_431,1126,__export__.res_partner_880,,,
613,,__export__.account_fiscalyear_47,2/4/2014,__export__.account_fiscalyear_57,7021,__export__.res_partner_2538,,,
614,,__export__.account_fiscalyear_48,2/4/2014,__export__.account_fiscalyear_57,7021,__export__.res_partner_2538,,,
615,,__export__.account_fiscalyear_49,2/4/2014,__export__.account_fiscalyear_57,7021,__export__.res_partner_2538,,,
616,,__export__.account_fiscalyear_50,2/4/2014,__export__.account_fiscalyear_57,7021,__export__.res_partner_2538,,,
617,,__export__.account_fiscalyear_51,2/4/2014,__export__.account_fiscalyear_57,7021,__export__.res_partner_2538,,,
618,,__export__.account_fiscalyear_52,2/4/2014,__export__.account_fiscalyear_57,7021,__export__.res_partner_2538,,,
619,,__export__.account_fiscalyear_53,2/4/2014,__export__.account_fiscalyear_57,7021,__export__.res_partner_2538,,,
620,,__export__.account_fiscalyear_54,2/4/2014,__export__.account_fiscalyear_57,7021,__export__.res_partner_2538,,,
621,,__export__.account_fiscalyear_55,2/4/2014,__export__.account_fiscalyear_57,7021,__export__.res_partner_2538,,,
622,,__export__.account_fiscalyear_55,10/29/2012,__export__.account_fiscalyear_56,1127,__export__.res_partner_3247,,,
623,,__export__.account_fiscalyear_54,3/8/2012,__export__.account_fiscalyear_55,7072,__export__.res_partner_7642,,,
624,,__export__.account_fiscalyear_55,9/24/2012,__export__.account_fiscalyear_56,1128,__export__.res_partner_2797,,,
625,,__export__.account_fiscalyear_55,4/11/2013,__export__.account_fiscalyear_57,7082,__export__.res_partner_7258,,,
626,,__export__.account_fiscalyear_56,8/20/2013,__export__.account_fiscalyear_57,7082,__export__.res_partner_7258,,,
627,,__export__.account_fiscalyear_51,1/18/2008,__export__.account_fiscalyear_51,1130,__export__.res_partner_1004,,,
628,,__export__.account_fiscalyear_52,1/23/2009,__export__.account_fiscalyear_52,1130,__export__.res_partner_1004,,,
629,,__export__.account_fiscalyear_53,4/23/2010,__export__.account_fiscalyear_54,1130,__export__.res_partner_1004,,,
630,,__export__.account_fiscalyear_54,8/20/2011,__export__.account_fiscalyear_55,1130,__export__.res_partner_1004,,,
631,,__export__.account_fiscalyear_55,10/29/2012,__export__.account_fiscalyear_56,1130,__export__.res_partner_1004,,,
632,,__export__.account_fiscalyear_56,11/15/2013,__export__.account_fiscalyear_57,7107,__export__.res_partner_8388,,,
633,,__export__.account_fiscalyear_55,3/30/2013,__export__.account_fiscalyear_56,7131,__export__.res_partner_2413,,,
634,,__export__.account_fiscalyear_56,1/21/2014,__export__.account_fiscalyear_57,7131,__export__.res_partner_2413,,,
635,,__export__.account_fiscalyear_54,12/3/2011,__export__.account_fiscalyear_55,1136,__export__.res_partner_7972,,,
636,,__export__.account_fiscalyear_56,7/1/2013,__export__.account_fiscalyear_57,1136,__export__.res_partner_7972,,,
637,,__export__.account_fiscalyear_55,12/29/2012,__export__.account_fiscalyear_56,1140,__export__.res_partner_4908,,,
638,,__export__.account_fiscalyear_56,8/31/2013,__export__.account_fiscalyear_57,1140,__export__.res_partner_4908,,,
639,,__export__.account_fiscalyear_55,7/5/2012,__export__.account_fiscalyear_56,7132,__export__.res_partner_7206,,,
640,,__export__.account_fiscalyear_56,8/20/2013,__export__.account_fiscalyear_57,7132,__export__.res_partner_7206,,,
641,,__export__.account_fiscalyear_55,6/22/2012,__export__.account_fiscalyear_56,1143,__export__.res_partner_2683,,,
642,,__export__.account_fiscalyear_56,12/13/2013,__export__.account_fiscalyear_57,1143,__export__.res_partner_2683,,,
643,,__export__.account_fiscalyear_55,7/4/2012,__export__.account_fiscalyear_56,7137,__export__.res_partner_7469,,,
644,,__export__.account_fiscalyear_56,6/5/2013,__export__.account_fiscalyear_57,7137,__export__.res_partner_7469,,,
645,,__export__.account_fiscalyear_55,5/10/2012,__export__.account_fiscalyear_56,7154,__export__.res_partner_4626,,,
646,,__export__.account_fiscalyear_56,5/8/2013,__export__.account_fiscalyear_57,7154,__export__.res_partner_4626,,,
647,,__export__.account_fiscalyear_48,10/5/2006,__export__.account_fiscalyear_50,1144,__export__.res_partner_2033,,,
648,,__export__.account_fiscalyear_49,10/5/2006,__export__.account_fiscalyear_50,1144,__export__.res_partner_2033,,,
649,,__export__.account_fiscalyear_50,5/9/2007,__export__.account_fiscalyear_51,1144,__export__.res_partner_2033,,,
650,,__export__.account_fiscalyear_55,7/26/2012,__export__.account_fiscalyear_56,7188,__export__.res_partner_3165,,,
651,,__export__.account_fiscalyear_56,12/19/2013,__export__.account_fiscalyear_57,7188,__export__.res_partner_3165,,,
652,,__export__.account_fiscalyear_54,7/26/2011,__export__.account_fiscalyear_55,1144,__export__.res_partner_2033,,,
653,,__export__.account_fiscalyear_56,12/24/2013,__export__.account_fiscalyear_57,7190,__export__.res_partner_4590,,,
654,,__export__.account_fiscalyear_53,10/30/2010,__export__.account_fiscalyear_54,7224,__export__.res_partner_181,,,
655,,__export__.account_fiscalyear_54,2/25/2012,__export__.account_fiscalyear_55,7224,__export__.res_partner_181,,,
656,,__export__.account_fiscalyear_40,11/24/1997,__export__.account_fiscalyear_41,1146,__export__.res_partner_5906,,,
657,,__export__.account_fiscalyear_55,5/6/2013,__export__.account_fiscalyear_57,7224,__export__.res_partner_181,,,
658,,__export__.account_fiscalyear_54,5/9/2011,__export__.account_fiscalyear_55,7243,__export__.res_partner_5992,,,
659,,__export__.account_fiscalyear_55,9/19/2012,__export__.account_fiscalyear_56,1147,__export__.res_partner_4865,,,
660,,__export__.account_fiscalyear_56,7/24/2013,__export__.account_fiscalyear_57,1147,__export__.res_partner_4865,,,
661,,__export__.account_fiscalyear_55,9/17/2012,__export__.account_fiscalyear_56,1148,__export__.res_partner_590,,,
662,,__export__.account_fiscalyear_56,9/5/2013,__export__.account_fiscalyear_57,1148,__export__.res_partner_590,,,
663,,__export__.account_fiscalyear_56,9/25/2013,__export__.account_fiscalyear_57,1149,__export__.res_partner_717,,,
664,,__export__.account_fiscalyear_55,7/4/2012,__export__.account_fiscalyear_56,7342,__export__.res_partner_6702,,,
665,,__export__.account_fiscalyear_56,6/5/2013,__export__.account_fiscalyear_57,7342,__export__.res_partner_6702,,,
666,,__export__.account_fiscalyear_56,10/23/2013,__export__.account_fiscalyear_57,7360,__export__.res_partner_736,,,
667,,__export__.account_fiscalyear_55,2/28/2013,__export__.account_fiscalyear_56,7373,__export__.res_partner_3277,,,
668,,__export__.account_fiscalyear_55,4/11/2013,__export__.account_fiscalyear_57,7378,__export__.res_partner_3108,,,
669,,__export__.account_fiscalyear_56,9/7/2013,__export__.account_fiscalyear_57,7378,__export__.res_partner_3108,,,
670,,__export__.account_fiscalyear_54,1/7/2012,__export__.account_fiscalyear_55,7395,__export__.res_partner_7314,,,
671,,__export__.account_fiscalyear_55,10/4/2012,__export__.account_fiscalyear_56,7395,__export__.res_partner_7314,,,
672,,__export__.account_fiscalyear_55,7/10/2012,__export__.account_fiscalyear_56,1151,__export__.res_partner_381,,,
673,,__export__.account_fiscalyear_56,7/15/2013,__export__.account_fiscalyear_57,1151,__export__.res_partner_381,,,
674,,__export__.account_fiscalyear_55,6/21/2012,__export__.account_fiscalyear_56,7397,__export__.res_partner_6494,,,
675,,__export__.account_fiscalyear_56,4/17/2013,__export__.account_fiscalyear_57,7397,__export__.res_partner_6494,,,
676,,__export__.account_fiscalyear_429,3/28/1995,__export__.account_fiscalyear_430,1152,__export__.res_partner_1210,,,
677,1964-1991,,3/31/1995,__export__.account_fiscalyear_430,1152,__export__.res_partner_1210,,,
678,,__export__.account_fiscalyear_51,2/6/2009,__export__.account_fiscalyear_52,1152,__export__.res_partner_1210,,,
679,,__export__.account_fiscalyear_53,8/6/2010,__export__.account_fiscalyear_54,1152,__export__.res_partner_1210,,,
680,,__export__.account_fiscalyear_55,6/22/2012,__export__.account_fiscalyear_56,7402,__export__.res_partner_8017,,,
681,,__export__.account_fiscalyear_56,4/18/2013,__export__.account_fiscalyear_57,7402,__export__.res_partner_8017,,,
682,,__export__.account_fiscalyear_55,5/9/2013,__export__.account_fiscalyear_57,7413,__export__.res_partner_2148,,,
683,,__export__.account_fiscalyear_56,7/19/2013,__export__.account_fiscalyear_57,7413,__export__.res_partner_2148,,,
684,,__export__.account_fiscalyear_55,5/26/2012,__export__.account_fiscalyear_56,1155,__export__.res_partner_1226,,,
685,,__export__.account_fiscalyear_55,11/9/2012,__export__.account_fiscalyear_56,7415,__export__.res_partner_4836,,,
686,,__export__.account_fiscalyear_56,5/30/2013,__export__.account_fiscalyear_57,1155,__export__.res_partner_1226,,,
687,,__export__.account_fiscalyear_56,12/6/2013,__export__.account_fiscalyear_57,7415,__export__.res_partner_4836,,,
688,,__export__.account_fiscalyear_54,5/25/2012,__export__.account_fiscalyear_56,7424,__export__.res_partner_1077,,,
