approve,assess_year/id,cancel,cancel_date,certificate_no,certified_date,collection_charge,wakf_district/id,file_no,grand_total,rr_execute,recover_amount,requisiton_no,send,reg_no,partner_id/id
TRUE,__export__.account_fiscalyear_51,TRUE,,0,2008-05-27,2450.95,__export__.wakf_district_8,0,51469.95,FALSE,49019,0,TRUE,3298,__export__.res_partner_2286
TRUE,__export__.account_fiscalyear_46,TRUE,,0,2008-05-28,4111.45,__export__.wakf_district_8,0,86340.45,FALSE,82229,0,TRUE,3121,__export__.res_partner_7486
TRUE,__export__.account_fiscalyear_46,TRUE,,0,2008-05-28,2752.55,__export__.wakf_district_8,0,57803.55,FALSE,55051,0,TRUE,3118,__export__.res_partner_8164
TRUE,__export__.account_fiscalyear_45,TRUE,,0,2008-05-28,2744.3,__export__.wakf_district_8,0,57630.3,FALSE,54886,0,TRUE,3207,__export__.res_partner_7840
TRUE,__export__.account_fiscalyear_44,TRUE,,0,2008-05-29,98.95,__export__.wakf_district_8,0,2077.95,FALSE,1979,0,TRUE,3278,__export__.res_partner_3880
TRUE,__export__.account_fiscalyear_51,TRUE,,0,2008-05-29,3146.45,__export__.wakf_district_8,0,66075.45,FALSE,62929,0,TRUE,5884,__export__.res_partner_7508
TRUE,__export__.account_fiscalyear_46,TRUE,,0,2008-05-31,2754.05,__export__.wakf_district_8,0,57835.05,FALSE,55081,0,TRUE,3119,__export__.res_partner_2492
TRUE,__export__.account_fiscalyear_51,TRUE,,0,2008-06-02,1873.3,__export__.wakf_district_8,0,39339.3,FALSE,37466,0,TRUE,3298,__export__.res_partner_2286
TRUE,__export__.account_fiscalyear_45,TRUE,2009-08-01,0,2008-06-07,627.745,__export__.wakf_district_8,0,13182.645,FALSE,12554.9,0,TRUE,2773,__export__.res_partner_5080
TRUE,__export__.account_fiscalyear_48,FALSE,,0,2008-07-02,420.5,__export__.wakf_district_8,0,8830.5,FALSE,8410,0,TRUE,3110,__export__.res_partner_891
TRUE,__export__.account_fiscalyear_48,TRUE,,0,2008-07-07,558.65,__export__.wakf_district_8,0,11731.65,FALSE,11173,0,TRUE,3179,__export__.res_partner_2230
TRUE,__export__.account_fiscalyear_48,TRUE,,0,2008-07-07,558.65,__export__.wakf_district_8,0,11731.65,FALSE,11173,0,TRUE,3179,__export__.res_partner_2230
TRUE,__export__.account_fiscalyear_48,FALSE,,0,2008-07-07,558.65,__export__.wakf_district_8,0,11731.65,FALSE,11173,0,TRUE,3179,__export__.res_partner_2230
TRUE,__export__.account_fiscalyear_46,FALSE,,0,2008-07-07,1167.65,__export__.wakf_district_8,0,24520.65,FALSE,23353,0,TRUE,3160,__export__.res_partner_168
TRUE,__export__.account_fiscalyear_48,FALSE,,0,2008-07-07,722.55,__export__.wakf_district_8,0,15173.55,FALSE,14451,0,TRUE,4757,__export__.res_partner_2055
TRUE,__export__.account_fiscalyear_51,TRUE,,0,2008-07-07,1873.35,__export__.wakf_district_8,0,39340.35,FALSE,37467,0,TRUE,3298,__export__.res_partner_2286
TRUE,__export__.account_fiscalyear_44,FALSE,,0,2008-07-07,53.25,__export__.wakf_district_8,0,1118.25,FALSE,1065,0,TRUE,5556,__export__.res_partner_3785
TRUE,__export__.account_fiscalyear_45,TRUE,,0,2008-07-07,1732.075,__export__.wakf_district_8,0,36373.575,FALSE,34641.5,0,TRUE,3249,__export__.res_partner_2285
TRUE,__export__.account_fiscalyear_46,FALSE,,0,2008-07-07,1732.075,__export__.wakf_district_8,0,36373.575,FALSE,34641.5,0,TRUE,3249,__export__.res_partner_2285
TRUE,__export__.account_fiscalyear_51,FALSE,,0,2008-07-07,2337.25,__export__.wakf_district_8,0,49082.25,FALSE,46745,0,TRUE,3249,__export__.res_partner_2285
TRUE,__export__.account_fiscalyear_51,TRUE,2013-05-30,0,2008-07-07,1942.6,__export__.wakf_district_8,0,40794.6,FALSE,38852,0,TRUE,3307,__export__.res_partner_5349
TRUE,__export__.account_fiscalyear_45,FALSE,,0,2008-07-07,506.25,__export__.wakf_district_8,0,10631.25,FALSE,10125,0,TRUE,4474,__export__.res_partner_2668
TRUE,__export__.account_fiscalyear_47,FALSE,,0,2008-07-08,463.6,__export__.wakf_district_8,0,9735.6,FALSE,9272,0,TRUE,6425,__export__.res_partner_4725
TRUE,__export__.account_fiscalyear_44,TRUE,,0,2008-07-08,576.4,__export__.wakf_district_8,0,12104.4,FALSE,11528,0,TRUE,3285,__export__.res_partner_7167
TRUE,__export__.account_fiscalyear_51,TRUE,2012-06-28,0,2008-07-08,4077.85,__export__.wakf_district_8,0,85634.85,FALSE,81557,0,TRUE,3325,__export__.res_partner_5274
TRUE,__export__.account_fiscalyear_51,FALSE,,0,2008-07-09,4418.55,__export__.wakf_district_8,0,92789.55,FALSE,88371,0,TRUE,3978,__export__.res_partner_688
TRUE,__export__.account_fiscalyear_48,FALSE,,0,2008-07-09,221.969,__export__.wakf_district_8,0,4661.349,FALSE,4439.38,0,TRUE,2911,__export__.res_partner_7177
TRUE,__export__.account_fiscalyear_51,FALSE,,0,2008-07-09,3504.15,__export__.wakf_district_8,0,73587.15,FALSE,70083,0,TRUE,3021,__export__.res_partner_4430
TRUE,__export__.account_fiscalyear_44,TRUE,,0,2008-07-09,145.15,__export__.wakf_district_8,0,3048.15,FALSE,2903,0,TRUE,3043,__export__.res_partner_3317
TRUE,__export__.account_fiscalyear_51,TRUE,2010-03-25,0,2008-07-09,2949.15,__export__.wakf_district_8,0,61932.15,FALSE,58983,0,TRUE,3939,__export__.res_partner_6053
TRUE,__export__.account_fiscalyear_45,FALSE,,0,2008-07-10,1885.85,__export__.wakf_district_8,0,39602.85,FALSE,37717,0,TRUE,4734,__export__.res_partner_2202
TRUE,__export__.account_fiscalyear_45,FALSE,,0,2008-07-11,858.75,__export__.wakf_district_8,0,18033.75,FALSE,17175,0,TRUE,3077,__export__.res_partner_5186
TRUE,__export__.account_fiscalyear_51,FALSE,,0,2001-07-23,4868.6,__export__.wakf_district_8,0,102240.6,FALSE,97372,0,TRUE,5540,__export__.res_partner_2346
TRUE,__export__.account_fiscalyear_46,FALSE,,0,2008-07-24,14965.85,__export__.wakf_district_8,0,314282.85,FALSE,299317,0,TRUE,3137,__export__.res_partner_914
TRUE,__export__.account_fiscalyear_45,FALSE,,0,2008-07-28,2744.3,__export__.wakf_district_8,0,57630.3,FALSE,54886,0,TRUE,3207,__export__.res_partner_7840
TRUE,__export__.account_fiscalyear_51,FALSE,,0,2008-07-28,4336.7,__export__.wakf_district_8,0,91070.7,FALSE,86734,0,TRUE,3333,__export__.res_partner_2945
TRUE,__export__.account_fiscalyear_45,TRUE,2011-01-06,0,2008-07-29,1492.95,__export__.wakf_district_8,0,31351.95,FALSE,29859,0,TRUE,2956,__export__.res_partner_2707
TRUE,__export__.account_fiscalyear_51,FALSE,,0,2008-07-29,7162.45,__export__.wakf_district_8,0,150411.45,FALSE,143249,0,TRUE,2956,__export__.res_partner_2707
TRUE,__export__.account_fiscalyear_45,FALSE,,0,2008-07-29,692.05,__export__.wakf_district_8,0,14533.05,FALSE,13841,0,TRUE,2979,__export__.res_partner_6757
TRUE,__export__.account_fiscalyear_46,TRUE,,0,2008-07-29,1316.3,__export__.wakf_district_8,0,27642.3,FALSE,26326,0,TRUE,3084,__export__.res_partner_657
TRUE,__export__.account_fiscalyear_47,FALSE,,0,2008-07-29,4513.4,__export__.wakf_district_8,0,94781.4,FALSE,90268,0,TRUE,3084,__export__.res_partner_657
TRUE,__export__.account_fiscalyear_49,FALSE,,0,2008-07-29,2319.8,__export__.wakf_district_8,0,48715.8,FALSE,46396,0,TRUE,5754,__export__.res_partner_4559
TRUE,__export__.account_fiscalyear_44,FALSE,,0,2008-08-18,1067.75,__export__.wakf_district_8,0,22422.75,FALSE,21355,0,TRUE,2955,__export__.res_partner_1462
TRUE,__export__.account_fiscalyear_43,TRUE,,0,2008-08-20,761.25,__export__.wakf_district_8,0,15986.25,FALSE,15225,0,TRUE,3748,__export__.res_partner_7393
TRUE,__export__.account_fiscalyear_52,TRUE,,0,2008-08-20,40890.5,__export__.wakf_district_8,0,858700.5,FALSE,817810,0,TRUE,3748,__export__.res_partner_7393
TRUE,__export__.account_fiscalyear_47,TRUE,2011-07-02,0,2008-08-20,73135.4,__export__.wakf_district_8,0,1535843.4,FALSE,1462708,0,TRUE,3748,__export__.res_partner_7393
TRUE,__export__.account_fiscalyear_51,TRUE,2012-02-13,0,2008-08-20,564600.55,__export__.wakf_district_8,0,11856611.55,FALSE,11292011,0,TRUE,3748,__export__.res_partner_7393
TRUE,__export__.account_fiscalyear_42,FALSE,,0,2008-09-05,114.8665,__export__.wakf_district_8,0,2412.1965,FALSE,2297.33,0,TRUE,3164,__export__.res_partner_8084
TRUE,__export__.account_fiscalyear_45,TRUE,,0,2008-09-06,791.25,__export__.wakf_district_8,0,16616.25,FALSE,15825,0,TRUE,3121,__export__.res_partner_7486
TRUE,__export__.account_fiscalyear_45,FALSE,,0,2008-09-09,4601.95,__export__.wakf_district_8,0,96640.95,FALSE,92039,0,TRUE,3071,__export__.res_partner_4486
TRUE,__export__.account_fiscalyear_46,TRUE,2010-07-28,0,2008-10-29,4647.75,__export__.wakf_district_8,0,97602.75,FALSE,92955,0,TRUE,3194,__export__.res_partner_7996
TRUE,__export__.account_fiscalyear_51,TRUE,,0,2008-11-11,2788.4975,__export__.wakf_district_8,0,58558.4475,FALSE,55769.95,0,TRUE,5884,__export__.res_partner_7508
TRUE,__export__.account_fiscalyear_51,TRUE,,491/2008,2009-06-08,678.5,__export__.wakf_district_8,RA/RR/491,14248.5,FALSE,13570,491/2008,FALSE,3342,__export__.res_partner_4698
TRUE,__export__.account_fiscalyear_46,FALSE,,0,2009-01-06,2082.35,,0,43729.35,FALSE,41647,0,TRUE,2976,__export__.res_partner_3564
TRUE,__export__.account_fiscalyear_49,FALSE,,0,2009-02-17,193.9755,,0,4073.4855,FALSE,3879.51,0,TRUE,2954,__export__.res_partner_3469
TRUE,__export__.account_fiscalyear_44,FALSE,,0,2009-02-21,576.41,,0,12104.61,FALSE,11528.2,0,TRUE,3285,__export__.res_partner_7167
TRUE,__export__.account_fiscalyear_50,FALSE,,0,2009-02-25,2414.045,,0,50694.945,FALSE,48280.9,0,TRUE,2793,__export__.res_partner_6856
TRUE,__export__.account_fiscalyear_51,FALSE,,0,2009-03-11,2788.4975,,0,58558.4475,FALSE,55769.95,0,TRUE,5884,__export__.res_partner_7508
TRUE,__export__.account_fiscalyear_50,FALSE,,0,2009-03-21,1560.6,,0,32772.6,FALSE,31212,0,TRUE,5844,__export__.res_partner_3044
TRUE,__export__.account_fiscalyear_51,TRUE,,0,2009-06-17,1873.35,__export__.wakf_district_6,0,39340.35,FALSE,37467,0,TRUE,3298,__export__.res_partner_2286
TRUE,__export__.account_fiscalyear_51,FALSE,,0,2009-06-17,1453.35,__export__.wakf_district_6,0,30520.35,FALSE,29067,0,TRUE,3298,__export__.res_partner_2286
TRUE,__export__.account_fiscalyear_51,FALSE,,0,2009-06-17,1873.35,__export__.wakf_district_6,0,39340.35,FALSE,37467,0,TRUE,3298,__export__.res_partner_2286
TRUE,__export__.account_fiscalyear_45,TRUE,2009-08-01,0,2009-08-01,627.745,__export__.wakf_district_6,0,13182.645,FALSE,12554.9,0,TRUE,2773,__export__.res_partner_5080
TRUE,__export__.account_fiscalyear_45,FALSE,,0,2009-08-01,627.745,__export__.wakf_district_6,0,13182.645,FALSE,12554.9,0,TRUE,2773,__export__.res_partner_5080
